2025-02-24 21:19:13,481 - INFO - [LOG] Gesture: No Hand | FPS: 34.01 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,558 - INFO - [LOG] Gesture: No Hand | FPS: 10.12 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,630 - INFO - [LOG] Gesture: No Hand | FPS: 14.85 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,697 - INFO - [LOG] Gesture: No Hand | FPS: 15.03 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,755 - INFO - [LOG] Gesture: No Hand | FPS: 14.91 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,825 - INFO - [LOG] Gesture: No Hand | FPS: 14.95 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,890 - INFO - [LOG] Gesture: No Hand | FPS: 15.00 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:13,955 - INFO - [LOG] Gesture: No Hand | FPS: 15.23 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,022 - INFO - [LOG] Gesture: No Hand | FPS: 14.93 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,091 - INFO - [LOG] Gesture: No Hand | FPS: 15.00 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,159 - INFO - [LOG] Gesture: No Hand | FPS: 14.72 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,225 - INFO - [LOG] Gesture: No Hand | FPS: 15.53 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,290 - INFO - [LOG] Gesture: No Hand | FPS: 14.80 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,348 - INFO - [LOG] Gesture: No Hand | FPS: 14.24 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,380 - INFO - [LOG] Gesture: No Hand | FPS: 31.58 | Ratio: 0.00 | Similarity: 0.00%
2025-02-24 21:19:14,462 - INFO - [LOG] Gesture: X | FPS: 15.22 | Ratio: 0.53 | Similarity: 89.05%
2025-02-24 21:19:14,512 - INFO - [LOG] Gesture: X | FPS: 14.81 | Ratio: 0.56 | Similarity: 92.64%
2025-02-24 21:19:14,546 - INFO - [LOG] Gesture: X | FPS: 29.39 | Ratio: 0.57 | Similarity: 94.81%
2025-02-24 21:19:14,580 - INFO - [LOG] Gesture: X | FPS: 29.54 | Ratio: 0.57 | Similarity: 95.28%
2025-02-24 21:19:14,611 - INFO - [LOG] Gesture: X | FPS: 31.74 | Ratio: 0.57 | Similarity: 95.55%
2025-02-24 21:19:14,643 - INFO - [LOG] Gesture: X | FPS: 30.91 | Ratio: 0.59 | Similarity: 97.82%
2025-02-24 21:19:14,678 - INFO - [LOG] Gesture: X | FPS: 28.78 | Ratio: 0.59 | Similarity: 98.20%
